scientific_name,count
Platanus acerifolia,217762
Lagerstroemia indica,207061
Acer platanoides,198951
Gleditsia triacanthos,167242
Pyrus calleryana,159981
Fraxinus pennsylvanica,156922
Acer rubrum,140917
Liquidambar styraciflua,111483
Tilia cordata,106723
Quercus virginiana,104183
Quercus palustris,87739
Washingtonia robusta,85603
Magnolia grandiflora,82141
Prunus,81404
Zelkova serrata,71691
Celtis occidentalis,69579
Acer saccharum,67768
Acer saccharinum,66265
Ginkgo biloba,59189
Pistacia chinensis,57554
Ulmus americana,55180
Malus,52858
Ulmus parvifolia,52483
Fraxinus americana,51929
Quercus rubra,49900
Tilia americana,46290
Prunus cerasifera,42314
Cinnamomum camphora,37752
Ficus microcarpa,37435
Acer freemanii,37375
Syagrus romanzoffianum,36198
Cupaniopsis anacardioides,33796
Cercis canadensis,33204
Ulmus pumila,33072
Fraxinus velutina,31960
Cupressus sempervirens,31340
Pinus canariensis,29753
Ulmus,29476
Quercus bicolor,28561
Fraxinus,26421
Pinus,25654
Jacaranda acutifolia,24716
Quercus phellos,23951
Acer,23140
Styphnolobium japonicum,21729
Lophostemon confertus,21453
Pyrus kawakamii,20943
Tilia,20868
Eucalyptus,20538
Taxodium distichum,20265
Syringa reticulata,19272
Quercus agrifolia,19151
Picea pungens,19108
Liriodendron tulipifera,18254
Platanus racemosa,17374
Quercus macrocarpa,16815
Phoenix canariensis,16609
Quercus,16580
Crataegus,16115
Pittosporum undulatum,15983
Morus alba,15729
Prunus serrulata,15580
Pyrus,15447
Platanus occidentalis,15251
Pinus nigra,15156
Koelreuteria paniculata,15142
Jacaranda mimosifolia,14932
Acer palmatum,14771
Ceratonia siliqua,14730
Gymnocladus dioicus,14693
Ligustrum lucidum,14674
Eucalyptus globulus,14423
Robinia pseudoacacia,14219
Triadica sebifera,13884
Quercus laurifolia,13633
Quercus shumardii,13262
Podocarpus gracilior,13082
Sabal palmetto,12920
Quercus ilex,12862
Quercus nigra,12822
Acer campestre,12804
Quercus alba,12135
Unassigned,12042
Tilia tomentosa,11974
Metrosideros excelsa,11949
Tristaniopsis laurina,11906
Fraxinus uhdei,11893
Cornus,11760
Celtis sinensis,11360
Schinus molle,11177
Malus sylvestris,10900
Arecastrum romanzoffianum,10840
Schinus terebinthifolius,10825
Washingtonia filifera,10800
Pinus taeda,10761
Carya illinoinensis,10660
Koelreuteria bipinnata,10549
Quercus coccinea,10401
Sequoia sempervirens,10387
Nyssa sylvatica,10380
Pinus ponderosa,10380
Brachychiton populneus,10301
Olea europaea,10156
Juniperus virginiana,10153
Betula pendula,10082
Pinus halepensis,10045
Prunus virginiana,9914
Pinus brutia,9760
Quercus robur,9542
Ailanthus altissima,9413
Pinus strobus,9294
Amelanchier,9260
Pinus elliottii,9252
Callistemon citrinus,9224
Nerium oleander,8953
Prunus L.,8926
Quercus lobata,8665
Ulmus crassifolia,8664
Cornus florida,8644
Betula nigra,8634
Fraxinus angustifolia,8130
Quercus acutissima,8126
Acer ginnala,8116
Populus deltoides,8039
Catalpa speciosa,8027
Magnolia,8010
Juglans nigra,7990
Carpinus betulus,7914
Cedrus deodara,7843
Juniperus chinensis,7835
Picea abies,7715
Betula,7649
Ficus benjamina,7548
Lagerstroemia,7259
Geijera parviflora,7248
Acacia melanoxylon,7115
Acer buergerianum,7102
Carpinus caroliniana,7077
Acer negundo,7007
Morus,7006
Acer griseum,6758
Prunus serotina,6724
Pseudotsuga menziesii,6617
Acer truncatum,6483
Syagrus romanzoffiana,6441
Populus,6369
Thuja occidentalis,6172
Prunus caroliniana,6151
Cercis,6027
Arbutus,6020
Callistemon lanceolatus,5815
Pinus sylvestris,5761
Cercidiphyllum japonicum,5759
Archontophoenix cunninghamiana,5720
Eucalyptus polyanthemos,5469
Schinus terebinthifolia,5284
Prunus persica,5210
Juniperus,5145
Acer pseudoplatanus,5126
Eucalyptus sideroxylon,5090
Podocarpus macrophyllus,5050
Melaleuca quinquenervia,5031
Parrotia persica,4997
Metasequoia glyptostroboides,4981
Tristania conferta,4962
Aesculus hippocastanum,4952
Pinus radiata,4922
Ilex attenuata,4914
Maytenus boaria,4910
Tristaniopsis Brongn.,4884
Crataegus laevigata,4881
Rhus lancea,4842
Ligustrum japonicum,4769
Albizia julibrissin,4704
Ficus,4704
Acer macrophyllum,4545
Pinus pinea,4516
Picea,4488
Eucalyptus camaldulensis,4485
Prunus yedoensis,4481
Carpinus,4467
Acer tataricum,4459
Magnolia virginiana,4431
Cornus kousa,4380
Chitalpa tashkentensis,4340
Trachycarpus fortunei,4340
Populus tremuloides,4314
Eriobotrya japonica,4303
Salix,4251
Eucalyptus maculata,4240
Prunus blireiana,4198
Eriobotrya deflexa,4162
Corymbia ficifolia,4122
Styrax,4106
Quercus lyrata,4093
Melaleuca,4058
Yucca gloriosa,4029
Alnus rhombifolia,3956
Quercus geminata,3918
Populus sargentii,3786
Quercus suber,3776
Juglans californica,3740
Callistemon viminalis,3726
Liquidambar,3723
Fraxinus oxycarpa,3693
Ostrya virginiana,3624
Quercus nuttallii,3560
Crataegus phaenopyrum,3533
Quercus imbricaria,3528
Picea glauca,3519
Juniperus scopulorum,3502
Eucalyptus rudis,3485
Phoenix dactylifera,3467
Quercus muehlenbergii,3385
Grevillea robusta,3371
Maackia amurensis,3309
Malus domestica,3220
Amelanchier grandiflora,3168
Melia azedarach,3140
Thuja plicata,3093
Myoporum laetum,3075
Cladrastis lutea,3047
Quercus velutina,3024
Syzygium paniculatum,3003
Ilex,2993
Thuja,2965
Chionanthus retusus,2961
Styrax japonicus,2933
Sophora japonica,2933
Catalpa,2914
Ulmus rubra,2866
Yucca,2861
Juglans,2767
Citrus,2754
Amelanchier arborea,2749
Pinus thunbergiana,2717
Ilex opaca,2714
Pinus edulis,2695
Quercus stellata,2681
Acacia,2626
Crataegus crus-galli,2501
Eucalyptus citriodora,2500
Cassia leptophylla,2480
Cordyline australis,2480
Laurus nobilis,2465
Ulmus carpinifolia,2453
Juglans regia,2436
Cornus mas,2429
Eucalyptus ficifolia,2426
Eucommia ulmoides,2400
Cedrus,2358
Phoenix roebelenii,2339
Melaleuca citrina,2338
Prunus subhirtella,2322
Photinia fraseri,2316
Tilia euchlora,2280
Cocos nucifera,2269
Cladrastis kentukea,2239
Aesculus carnea,2213
Aesculus,2209
Amelanchier laevis,2190
Vitex agnus-castus,2176
Malus tschonoskii,2147
Myoporum,2129
Citrus sinensis,2125
Acer miyabei,2124
Aesculus glabra,2106
Betula papyrifera,2102
Agonis flexuosa,2049
Persea americana,2045
Calocedrus decurrens,2028
Magnolia soulangeana,2025
Adonidia merrillii,1984
Arbutus unedo,1951
Cupressus macrocarpa,1929
Platanus,1929
Carya ovata,1907
Prunus domestica,1900
Nyssa,1876
Ilex vomitoria,1854
Cupressocyparis leylandii,1851
Prunus armeniaca,1841
Fagus grandifolia,1840
Acacia stenophylla,1810
Fraxinus holotricha,1803
Casuarina cunninghamiana,1801
Tipuana tipu,1793
Pittosporum crassifolium,1793
Chamaecyparis,1790
Phellodendron amurense,1775
Pinus eldarica,1708
Corylus colurna,1706
Eucalyptus cladocalyx,1683
Ficus retusa,1678
Fagus sylvatica,1665
Crataegus crusgalli,1662
Malus Mill.,1652
Pinus resinosa,1645
Rhamnus cathartica,1643
Populus nigra,1639
Magnolia soulangiana,1629
Fraxinus excelsior,1625
Chilopsis linearis,1619
Afrocarpus gracilior,1612
Ficus nitida,1609
Casuarina equisetifolia,1583
Chamaerops humilis,1518
Hymenosporum flavum,1515
Elaeagnus angustifolia,1510
Platycladus orientalis,1510
Archontophoenix,1495
Prunus laurocerasus,1474
Quercus ellipsoidalis,1472
Bauhinia purpurea,1447
Salix babylonica,1437
Celtis laevigata,1436
Callistemon,1424
Prunus pissardii,1402
Acacia baileyana,1398
Clerodendrum,1395
Morus rubra,1394
Melaleuca linariifolia,1390
Liquidambar L.,1388
Quercus falcata,1387
Rhamnus purshiana,1366
Lagerstroemia L.,1362
Pittosporum rhombifolium,1357
Ficus carica,1344
Araucaria heterophylla,1338
Olea,1336
Prunus sargentii,1315
Acer nigrum,1304
Chorisia speciosa,1299
Prosopis chilensis,1289
Syringa,1289
Fagus,1273
Eucalyptus robusta,1265
Tsuga canadensis,1259
Xylosma congestum,1255
Pinus mugo,1233
Juglans hindsii,1231
Populus hybrid,1224
Populus acuminata,1215
Sorbus,1214
Robinia ambigua,1198
Myrica cerifera,1179
Ficus rubiginosa,1173
Ilex cassine,1168
Harpephyllum caffrum,1159
Diospyros virginiana,1156
Sapium sebiferum,1153
Sorbus aucuparia,1150
Salix nigra,1147
Citrus limon,1141
Lagunaria patersonii,1140
Brahea edulis,1128
TipuanaÃƒâ€šÃ‚Â tipu,1119
Crataegus monogyna,1116
Pyrus communis,1111
Ulmus alata,1111
Ficus macrophylla,1105
Dodonaea viscosa,1097
Pittosporum tobira,1089
Tabebuia avellanedae,1088
Brachychiton,1088
Erythrina,1080
Abies concolor,1077
Hibiscus syriacus,1075
Crataegus viridis,1057
Maclura pomifera,1054
Stewartia pseudocamellia,1053
Prunus avium,1044
Alnus cordata,1030
Tabebuia heterophylla,1017
Acer L.,999
Betula utilis,986
Melaleuca viminalis,983
Crataegus lavallei,978
Cassia nealiae,977
Amelanchier canadensis,959
Prosopis glandulosa,941
Quercus texana,937
Prunus amygdalus,925
Albizia saman,923
Abies,918
Tabebuia impetiginosa,914
Syzygium australe,911
Cercis occidentalis,907
Araucaria excelsa,906
Malus floribunda,896
Gleditsia,883
Acer circinatum,881
Cupressus,858
Taxodium ascendens,848
Bauhinia variegata,843
Populus alba,840
Sassafras albidum,827
Ulmus japonica,823
Fraxinus nigra,811
Rhaphiolepis Lindl.,808
Ilex cornuta,806
Erythrina caffra,801
Carpinus japonica,797
Roystonea regia,783
Corymbia citriodora,772
Eugenia myrtifolia,764
Vachellia farnesiana,750
Acer grandidentatum,742
Ficus elastica,741
Leptospermum scoparium,739
Populus fremontii,729
Acacia longifolia,727
Cycas revoluta,723
Pinus torreyana,717
Cotinus coggygria,711
Catalpa bignonioides,703
Alnus,702
Salix amygdaloides,696
Bauhinia blakeana,680
Wodyetia bifurcata,673
Handroanthus impetiginosus,661
Cornus nuttallii,659
Rhamnus alaternus,658
Ulmus propinqua,655
Eucalyptus leucoxylon,654
Prosopis velutina,650
Juniperus silicicola,649
Syringa pekinensis,648
Cedrus atlantica,641
Livistona chinensis,641
Salix fragilis,636
Chionanthus virginicus,634
Solanum rantonnetii,625
Quercus prinus,612
Prunus salicina,608
Rhus typhina,606
Tabebuia chrysotricha,605
Calodendrum capense,598
Malus ioensis,598
Quercus fusiformis,590
Fraxinus berlandieriana,587
Melaleuca styphelioides,584
Carya,581
Ceiba speciosa,579
Thuja orientalis,578
Eucalyptus nicholii,578
Ilex aquifolium,577
Parkinsonia,572
Conocarpus erectus,570
Prunus mexicana,568
Carya glabra,568
Celtis L.,567
Magnolia stellata,561
Osmanthus fragrans,558
Quercus michauxii,555
Cupressus leylandii,550
Populus angustifolia,548
Machaerium tipu,541
Magnolia acuminata,534
Lyonothamnus floribundus,533
Prunus lyonii,533
Sequoiadendron giganteum,532
Celtis australis,531
Tristania laurina,529
Cotinus,526
Pinus thunbergii,525
Liquidambar orientalis,512
Leptospermum laevigatum,510
Alnus rubra,507
Taxus,506
Paulownia tomentosa,505
Prunus pendula,497
Alnus glutinosa,496
Syzygium cumini,494
Quercus marilandica,494
Quercus gambellii,492
Brachychiton acerifolius,489
Corylus,482
Eucalyptus viminalis,477
Cornus drummondii,474
Heteromeles arbutifolia,474
Pinus virginiana,473
Acacia decurrens,469
Betula alba,464
Chamaecyparis lawsoniana,447
Musa,446
Halesia carolina,445
Arbutus menziesii,442
Taxus baccata,442
Melaleuca nesophila,434
Pinus palustris,431
Malus transitoria,430
Laburnum,429
Pinus flexilis,423
Prunus americana,421
Pinus monticola,415
Oxydendrum arboreum,414
Arecaceae,413
Cornus alternifolia,409
Halesia diptera,404
Bursera simaruba,404
Elaeocarpus decipiens,401
Punica granatum,400
Celtis,396
Parkinsonia aculeata,394
Ulmus procera,390
Tilia platyphyllos,388
Eucalyptus cinerea,388
Ulmus glabra,387
Cupressus glabra,384
Magnolia kobus,381
Rhaphiolepis,381
Populus balsamifera,380
Dypsis lutescens,380
Pinus contorta,379
Robinia,378
Rhamnus,378
Prunus ilicifolia,374
Stenocarpus sinuatus,373
Araucaria columnaris,368
Acacia confusa,366
Butia capitata,365
Chamaecyparis thyoides,362
Diospyros kaki,361
Ilex L.,361
Celtis reticulata,361
Umbellularia californica,356
Broussonetia papyrifera,352
Aesculus flava,352
Hibiscus,351
Chamaecyparis pisifera,351
Handroanthus chrysotrichus,348
Pittosporum tenuifolium,347
Parkinsonia florida,345
Quercus buckleyi,345
Feijoa sellowiana,344
Bucida buceras,342
Cordia sebestena,339
Delonix regia,337
Salix matsudana,336
Prunus pumila,335
Platanus orientalis,333
Ceanothus,331
Cupressus arizonica,330
Aesculus arnoldiana,325
Trachycarpus,325
Pinus strobiformis,324
Ostrya,318
Euphorbia tirucalli,311
Castanea mollissima,311
Aesculus Octandra,311
Quercus montana,310
Podocarpus henkelii,301
Corymbia maculata,301
Melaleuca ericifolia,298
Pittosporum phillyraeoides,294
Prunus armenica,294
Tabebuia berteroi,293
Coccoloba uvifera,293
Pinus aristata,291
Pinus echinata,291
Castanea,290
Prunus cerasus,289
Quercus pagoda,286
Asimina triloba,279
Filicium decipiens,279
Carya cordiformis,278
Diospyros,278
Cryptomeria japonica,276
Koelreuteria elegans,276
Quercus frainetto,276
Chionanthus,269
Sapindus saponaria,268
Ilex decidua,268
Plumeria,265
Pritchardia pacifica,265
Tsuga heterophylla,264
Fraxinus quadrangulata,262
Handroanthus avellanedae,260
Syringa vulgaris,260
Bauhinia,259
Juniperus monosperma,259
Crataegus ambigua,257
Laurus L.,252
Crataegus mollis,252
Malus pumila,247
Picea omorika,247
Populus canadensis,247
Cassia fistula,246
Acer leucoderme,245
Sophora secundiflora,245
Callistemon R.,243
Afrocarpus,242
Ficus Rding,240
Rhaphiolepis indica,240
Cercis reniformis,239
Eucalyptus L.,239
Aesculus pavia,239
Brachychiton populneum,238
Magnolia doltsopa,236
Ulmus davidiana,233
Styphnolobium affine,233
Pyrus ussuriensis,232
Crataegus L.,232
Platanus mexicana,231
Quercus warei,230
Pinus heldreichii,230
Salix alba,229
Prunus dulcis,227
Cassine orientalis,227
Acacia aneura,225
Gingko biloba,224
Laburnum anagyroides,222
Ligustrum ovalifolium,220
Citrus paradisi,220
Chrysophyllum oliviforme,218
Hamamelis virginiana,217
Magnolia loebneri,217
Sorbus americana,213
Abies balsamea,213
Phoenix reclinata,211
Chamaecyparis obtusa,210
Sophora,209
Strelitzia nicolai,209
Malus angustifolia,208
Sambucus caerulea,207
Quercus pagodifolia,207
Pittosporum viridiflorum,207
Eucalyptus lehmannii,205
Larix laricina,205
Ligustrum,204
Salix lasiolepis,204
Pittosporum eugenioides,204
Yucca elephantipes,201
Senna surattensis,200
Sorbus thuringiaca,199
Carya tomentosa,199
Tsuga,195
Liquidambar formosana,194
Thespesia populnea,194
Rhus,193
Cordia subcordata,193
Prunus padus,190
Zelkova,190
Abies fraseri,187
Quercus douglasii,187
Sideroxylon lanuginosum,185
Spathodea campanulata,181
Malus moerlandsii,180
Schefflera actinophylla,179
Pterocarpus dalbergioides,177
Ulmus wilsoniana,176
Geijera Schott,175
Calophyllum inophyllum,171
Callistemon pallidus,171
Magnolia liliflora,170
Aesculus californica,170
Fraxinus ornus,168
Chamaecyparis nootkatensis,168
Senegalia greggii,167
Thrinax radiata,167
Cornus racemosa,166
Cotoneaster,165
Acer paxii,165
Viburnum,165
Lagerstroemia fauriei,164
Pinus roxburghii,163
Larix,163
Araucaria araucana,162
Prunus incam,159
Tree,159
Ravenea rivularis,159
Aleurites moluccanus,159
Libocedrus decurrens,158
Juglans cinerea,157
Fagus grandiflora,156
Larix decidua,155
Melaleuca L.,154
Dalbergia sissoo,154
Ilex paraguariensis,153
Erythrina coralloides,152
Eucalyptus tereticornis,152
Swietenia mahagoni,150
Acacia pendula,149
Phoenix sylvestris,148
Heptacodium miconioides,147
Populus grandidentata,146
Eucalyptus microtheca,146
Leucaena leucocephala,145
Prunus serrula,145
Betula populifolia,142
Ceanothus L.,142
Clusia rosea,138
Not,138
Casimiroa edulis,138
Cecropia palmata,138
Ficus lyrata,136
Tamarix aphylla,136
Pinus glabra,133
Eucalyptus torquata,133
Acer glabrum,133
Xylosma,132
Malus zumi,132
Prunus maackii,131
Psidium guajava,131
Cotinus obovatus,131
Laburnum watereri,131
Metasequoia,130
Populus trichocarpa,130
Catalpa hybrida,130
Carya pecan,127
Acer japonicum,127
Fraxinus pennsylvanica 'Patmore',126
Quercus laevis,125
Erythrina crista-galli,125
Pyrus pyrifolia,124
Pyrus L.,124
Firmiana simplex,122
Betula jacquemontii,122
Corylus avellana,120
Rhus glabra,120
Ficus benghalensis,120
Lagerstroemia speciosa,119
Brahea armata,119
Tsuga mertensiana,117
Dracaena draco,116
Pinus banksiana,116
Aronia arbutifolia,115
Callicarpa americana,115
Arbutus L.,113
Picea engelmannii,112
Viburnum odoratissimum,112
Quercus incana,112
Fraxinus texensis,112
Roystonea,112
Schefflera,111
Koelreuteria Laxm.,111
Sorbus alnifolia,109
