city,count
Adair,31
Adel,36
Ahuimanu,4
Aiea,1
Albuquerque,101
Anaheim,390
Arlington,109
Atlanta,282
Aurora,199
Austin,112
AvondaleEstates,40
Baltimore,428
Baxter,28
Bayard,13
Bondurant,47
Boston,79
Bouton,28
Brookhaven,28
Brown Deer,24
Buffalo,311
CandlerMcAfee,12
Cape Coral,119
Carlisle,46
Cedarburg,2
Chamblee,17
Clarkston,5
Colfax,37
CollegePark,26
Colorado Springs,191
Columbus,442
Coon Rapids,45
Cudahy,40
Dallas,51
Dallas Center,48
De Soto,28
Decatur,130
Denver,372
Des Moines,8
Detroit,163
Dexter,24
Doraville,12
Dunwoody,62
Durham,144
Earlham,35
EastPoint,48
Elkhart,15
Fox Point,26
Franklin,41
Fresno,73
Garden Grove,242
Glendale,60
Grand Rapids,213
Granger,39
Greendale,46
Greenfield,35
Greensboro,412
Guthrie Center,23
Hales Corners,69
Hapeville,20
Hartford,16
Heeia,1
Honolulu,181
Houston,265
Huntington Beach,335
Indianapolis,172
Irvine,136
Jersey City,32
Kailua,143
Kaneohe,112
Kellogg,23
Knoxville,163
Las Vegas,141
Lithonia,3
Los Angeles,634
Louisville,240
Lutz,1
Madison,135
Marietta,11
Miami,128
Milo,37
Milwaukee,104
Minneapolis,138
Mitchellville,36
Monroe,46
Muskego,2
Nashville,60
New Berlin,109
New Orleans,351
New York,133
Newton,74
Oak Creek,33
Oakland,181
Oakland Acres,9
Oklahoma City,141
Ontario,254
Orlando,202
Overland Park,167
Panora,23
Phoenix,77
Pittsburgh,236
Plano,101
Pleasant Hill,60
Polk City,13
Portland,162
Prairie City,36
Providence,120
Rancho Cucamonga,368
Redfield,30
Richmond,82
Rochester,255
Runnells,20
Sacramento,122
San Diego,142
San Francisco,551
San Jose,480
SandySprings,31
Santa Rosa,18
Scottdale,5
Seattle,708
Seffner,5
Shorewood,24
Sioux Falls,267
South Milwaukee,40
St. Louis,299
Stockton,285
Stuart,38
Sully,21
Tampa,185
Temple Terrace,4
Tucker,3
Unincorporated,40
Union,24
Van Meter,11
Waipahu,4
Washington DC,374
Watertown,88
Waukee,49
Wauwatosa,68
West Allis,61
West Bend,2
West Milwaukee,17
Whitefish Bay,18
Wind Lake,1
Windsor Heights,49
Woodward,45
Worcester,96
