state,city,common_name,count
Arizona,Phoenix,(corner by coop) mulberry,1
Arizona,Phoenix,(jagged leaf),1
Arizona,Phoenix,Acacia hybrid,1
Arizona,Phoenix,African sumac,6
Arizona,Phoenix,Aleppo pine,9
Arizona,Phoenix,Apricot,2
Arizona,Phoenix,Arizona (velvet) ash,1
Arizona,Phoenix,Arizona ash. velvet ash,12
Arizona,Phoenix,Ash,9
Arizona,Phoenix,Bean tree,3
Arizona,Phoenix,Blue palo verde,1
Arizona,Phoenix,Blue paloverde,3
Arizona,Phoenix,Bottle tree,2
Arizona,Phoenix,California palm,3
Arizona,Phoenix,Chilean mesquite,4
Arizona,Phoenix,China berry. white cedar,2
Arizona,Phoenix,Chinese elm,2
Arizona,Phoenix,Chinese elm or lacebark elm,3
Arizona,Phoenix,Chinese privet,2
Arizona,Phoenix,Cholla,2
Arizona,Phoenix,Common fig,1
Arizona,Phoenix,Desert ironwood,2
Arizona,Phoenix,Fremont cottonwood,5
Arizona,Phoenix,Front 2,1
Arizona,Phoenix,Grape fruit,1
Arizona,Phoenix,Grape fruitoro blanco,1
Arizona,Phoenix,Grapefruit,9
Arizona,Phoenix,Honey mesquite hybrid,1
Arizona,Phoenix,India rosewood,2
Arizona,Phoenix,Indian laurel fig,7
Arizona,Phoenix,Indian rosewood,2
Arizona,Phoenix,Iron wood,1
Arizona,Phoenix,Italian cypress,1
Arizona,Phoenix,Jacaranda,3
Arizona,Phoenix,Leafless palo verde,1
Arizona,Phoenix,Lemon,3
Arizona,Phoenix,Luckynut,2
Arizona,Phoenix,Mediterranean fan palm,1
Arizona,Phoenix,Mesquite,4
Arizona,Phoenix,Mexican blue palm,2
Arizona,Phoenix,Mexican fan palm,2
Arizona,Phoenix,Mulberry,6
Arizona,Phoenix,Myrtle,1
Arizona,Phoenix,Navel,3
Arizona,Phoenix,Ocotillo,2
Arizona,Phoenix,Oleander,4
Arizona,Phoenix,Orange,2
Arizona,Phoenix,Palo brea,2
Arizona,Phoenix,Palo verde,4
Arizona,Phoenix,Paloverde.mexican palo verde,1
Arizona,Phoenix,Peach,2
Arizona,Phoenix,Pecan,2
Arizona,Phoenix,Pink flower peach tree,1
Arizona,Phoenix,Purple bauhinia,1
Arizona,Phoenix,Queen palm,16
Arizona,Phoenix,Resinous juglans,1
Arizona,Phoenix,Round leaf eucalyptus,1
Arizona,Phoenix,Saguaro,5
Arizona,Phoenix,Same as unknown front,1
Arizona,Phoenix,Shamel ash,3
Arizona,Phoenix,Sissoo,1
Arizona,Phoenix,Sonoran palo verde,3
Arizona,Phoenix,Sour orange,3
Arizona,Phoenix,Southern live oak,1
Arizona,Phoenix,Sweet orange,6
Arizona,Phoenix,Tree brazilian pepper,1
Arizona,Phoenix,Turkish pine,2
Arizona,Phoenix,Velvet ash,2
Arizona,Phoenix,Velvet mesquite,4
Arizona,Phoenix,Velvet or arizona ash,4
Arizona,Phoenix,Weeping bottle brush,1
Arizona,Phoenix,Weeping bottlebrush,2
Arizona,Phoenix,White mulberry,3
California,Anaheim,Abyssinian banana,4
California,Anaheim,Acacia,34
California,Anaheim,Acer paxii,136
California,Anaheim,Afghan pine,18
California,Anaheim,African sumac,197
California,Anaheim,African tulip tree,3
California,Anaheim,Alamo mexican sycamore,129
California,Anaheim,Albizia,21
California,Anaheim,Aleppo pine,486
California,Anaheim,Alii fig,2
California,Anaheim,Almond,14
California,Anaheim,American arborvitae,4
California,Anaheim,American elm,12
California,Anaheim,American linden,7
California,Anaheim,American sweetgum,1433
California,Anaheim,American sycamore,10
California,Anaheim,Apricot,7
California,Anaheim,Arapaho crape myrtle,20
California,Anaheim,Areca palm,3
California,Anaheim,Aristocrat pear,42
California,Anaheim,Arizona ash,40
California,Anaheim,Ash,18
California,Anaheim,Ash gum,1
California,Anaheim,Atlas cedar,8
California,Anaheim,Australian flame tree,86
California,Anaheim,Australian tea tree,1
California,Anaheim,Australian willow,815
California,Anaheim,Autumn glow zelkova,23
California,Anaheim,Avocado,60
California,Anaheim,Birch,2
California,Anaheim,Black acacia,4
California,Anaheim,Black cottonwood,2
California,Anaheim,Black locust,72
California,Anaheim,Black walnut,2
California,Anaheim,Blanchard magnolia,73
California,Anaheim,Bloodgood plane,20
California,Anaheim,Blue gum,389
California,Anaheim,Blue leaf wattle,13
California,Anaheim,Bottle tree,416
California,Anaheim,Bottlebrush,28
California,Anaheim,Bougainvillea,1
California,Anaheim,Box elder,2
California,Anaheim,Bradford pear,24
California,Anaheim,Brazilian butterfly tree,4
California,Anaheim,Brazilian pepper,323
California,Anaheim,Brisbane box,1609
California,Anaheim,Bronze loquat,67
California,Anaheim,Brush cherry,66
California,Anaheim,Bunya bunya,3
California,Anaheim,Bur oak,7
California,Anaheim,Bushy yate,2
California,Anaheim,Cajeput tree,186
California,Anaheim,Calabrian pine,91
California,Anaheim,California buckeye,1
California,Anaheim,California fan palm,232
California,Anaheim,California pepper,280
California,Anaheim,California sycamore,634
California,Anaheim,Camphor tree,2567
California,Anaheim,Canary island broom,2
California,Anaheim,Canary island date palm,284
California,Anaheim,Canary island pine,2317
California,Anaheim,Cap gum red,2
California,Anaheim,Cape chestnut,14
California,Anaheim,Cape pittosporum,24
California,Anaheim,Carob,58
California,Anaheim,Carolina laurel cherry,18
California,Anaheim,Carolina poplar,5
California,Anaheim,Carrotwood,1318
California,Anaheim,Catalpa,2
California,Anaheim,Catawba crape myrtle,1
California,Anaheim,Cedar,17
California,Anaheim,Cedar elm,8
California,Anaheim,Champaca,1
California,Anaheim,Cherimoya,3
California,Anaheim,Chilean wine palm,1
California,Anaheim,Chinaberry,21
California,Anaheim,Chinese banyan,1
California,Anaheim,Chinese elm,852
California,Anaheim,Chinese flame tree,2227
California,Anaheim,Chinese fringe tree,19
California,Anaheim,Chinese hackberry,335
California,Anaheim,Chinese hibiscus,1
California,Anaheim,Chinese juniper,3
California,Anaheim,Chinese parasol tree,1
California,Anaheim,Chinese pistache,1123
California,Anaheim,Chinese sweetgum,2
California,Anaheim,Chinese tallow tree,606
California,Anaheim,Chir pine,11
California,Anaheim,Chitalpa,215
California,Anaheim,Cliff date palm,48
California,Anaheim,Cluster pine,4
California,Anaheim,Coast live oak,160
California,Anaheim,Coast redwood,12
California,Anaheim,Cockspur coral tree,2
California,Anaheim,Columbia plane,19
California,Anaheim,Coral gum,27
California,Anaheim,Coral tree,5
California,Anaheim,Cork oak,13
California,Anaheim,Coulter pine,1
California,Anaheim,Crape myrtle,3320
California,Anaheim,Cypress,1
California,Anaheim,Date palm,160
California,Anaheim,Dead tree,13
California,Anaheim,Deodar cedar,98
California,Anaheim,Desert gum,209
California,Anaheim,Diamond pittosporum,70
California,Anaheim,Dracaena,3
California,Anaheim,Dragon tree,17
California,Anaheim,Dwarf blue gum,2
California,Anaheim,Dwarf purple leaf plum,1
California,Anaheim,Dwarf schefflera,1
California,Anaheim,Eastern cottonwood,1
California,Anaheim,Eastern redbud,103
California,Anaheim,Edible apple,2
California,Anaheim,Edible fig,6
California,Anaheim,Edible loquat,62
California,Anaheim,Elderberry,1
California,Anaheim,Elegans flamegold,1
California,Anaheim,Empress tree,1
California,Anaheim,Engelmann oak,4
California,Anaheim,English walnut,1
California,Anaheim,Eucalyptus,283
California,Anaheim,European hackberry,2
California,Anaheim,European white birch,18
California,Anaheim,Evergreen pear,306
California,Anaheim,Fairmont ginkgo,8
California,Anaheim,Fern pine,812
California,Anaheim,Fig,10
California,Anaheim,Filibuster hybrid fan palm,7
California,Anaheim,Firewheel tree,41
California,Anaheim,Fishtail wine palm,4
California,Anaheim,Flame tree,13
California,Anaheim,Flaxleaf paperbark,22
California,Anaheim,Floss tree silk,125
California,Anaheim,Flowering gum fruit red lg.,1
California,Anaheim,Flowering pear,1
California,Anaheim,Flowering plum,1
California,Anaheim,Forest pansy redbud,28
California,Anaheim,Frasers photinia,46
California,Anaheim,Fruitless ginkgo,14
California,Anaheim,Giant bird of paradise,2
California,Anaheim,Giant yucca,2
California,Anaheim,Ginkgo autumn gold,211
California,Anaheim,Gleditsia honey locust,8
California,Anaheim,Glossy privet,15
California,Anaheim,Gold medallion tree,61
California,Anaheim,Golden chain tree,1
California,Anaheim,Golden trumpet tree,256
California,Anaheim,Goldenrain tree,141
California,Anaheim,Grapefruit,1
California,Anaheim,Gray pine,26
California,Anaheim,Green gem indian laurel fig,3
California,Anaheim,Green wattle,3
California,Anaheim,Guadalupe palm,54
California,Anaheim,Guaje,1
California,Anaheim,Guamuchil,2
California,Anaheim,Guatemalan holly,5
California,Anaheim,Guava,8
California,Anaheim,Hackberry species,3
California,Anaheim,Heath melaleuca,22
California,Anaheim,Holly,2
California,Anaheim,Holly oak,1219
California,Anaheim,Hollywood juniper,124
California,Anaheim,Honey locust,261
California,Anaheim,Hong kong orchid tree,32
California,Anaheim,Hopseed,4
California,Anaheim,Horsechestnut,1
California,Anaheim,Horsetail tree,9
California,Anaheim,Hybrid bottle tree,12
California,Anaheim,Idaho locust,2
California,Anaheim,Incense cedar,7
California,Anaheim,Indian hawthorne,25
California,Anaheim,Indian laurel fig,208
California,Anaheim,Italian alder,2
California,Anaheim,Italian cypress,93
California,Anaheim,Italian stone pine,259
California,Anaheim,Jacaranda,1676
California,Anaheim,Japanese black pine,114
California,Anaheim,Japanese maple,1
California,Anaheim,Japanese pagoda tree,19
California,Anaheim,Japanese privet,4
California,Anaheim,Juniper,11
California,Anaheim,Kaffir plum,7
California,Anaheim,Kaffirboom coral tree,21
California,Anaheim,King palm,220
California,Anaheim,Knobcone pine,1
California,Anaheim,Koelreuteria,1
California,Anaheim,Lavender trumpet tree,256
California,Anaheim,Leaf catalina ironwood fern,1
California,Anaheim,Leaf plum purple,109
California,Anaheim,Leafed snailseed laurel,1
California,Anaheim,Leafed sweetgum round,58
California,Anaheim,Leafed yellowwood long,1
California,Anaheim,Leaved chaste tree five,1
California,Anaheim,Lelucaena,2
California,Anaheim,Lemon,7
California,Anaheim,Lemon bottlebrush,144
California,Anaheim,Leyland cypress,7
California,Anaheim,Little gem magnolia,2
California,Anaheim,Little leaf linden,3
California,Anaheim,Locust,9
