state,city,common_name,count
Arizona,Phoenix,African sumac,6
Arizona,Phoenix,Aleppo pine,9
Arizona,Phoenix,Apricot,2
Arizona,Phoenix,Arizona ash. velvet ash,12
Arizona,Phoenix,Ash,9
Arizona,Phoenix,Bean tree,3
Arizona,Phoenix,Blue paloverde,3
Arizona,Phoenix,Bottle tree,2
Arizona,Phoenix,California palm,3
Arizona,Phoenix,Chilean mesquite,4
Arizona,Phoenix,Chinese elm or lacebark elm,3
Arizona,Phoenix,Fremont cottonwood,5
Arizona,Phoenix,Grapefruit,9
Arizona,Phoenix,Indian laurel fig,7
Arizona,Phoenix,Jacaranda,3
Arizona,Phoenix,Lemon,3
Arizona,Phoenix,Mesquite,4
Arizona,Phoenix,Mulberry,6
Arizona,Phoenix,Navel,3
Arizona,Phoenix,Oleander,4
Arizona,Phoenix,Palo verde,4
Arizona,Phoenix,Queen palm,16
Arizona,Phoenix,Saguaro,5
Arizona,Phoenix,Shamel ash,3
Arizona,Phoenix,Sonoran palo verde,3
Arizona,Phoenix,Sour orange,3
Arizona,Phoenix,Sweet orange,6
Arizona,Phoenix,Velvet mesquite,4
Arizona,Phoenix,Velvet or arizona ash,4
Arizona,Phoenix,White mulberry,3
California,Anaheim,American sweetgum,1433
California,Anaheim,Bottle tree,416
California,Anaheim,Brisbane box,1609
California,Anaheim,California sycamore,634
California,Anaheim,Camphor tree,2567
California,Anaheim,Canary island date palm,284
California,Anaheim,Canary island pine,2317
California,Anaheim,Carob,58
California,Anaheim,Carrotwood,1318
California,Anaheim,Chinese elm,852
California,Anaheim,Chinese pistache,1123
California,Anaheim,Crape myrtle,3320
California,Anaheim,Eucalyptus,283
California,Anaheim,Evergreen pear,306
California,Anaheim,Indian laurel fig,208
California,Anaheim,Italian cypress,93
California,Anaheim,Jacaranda,1676
California,Anaheim,London plane,1225
California,Anaheim,Mexican fan palm,4379
California,Anaheim,Modesto ash,88
California,Anaheim,Ornamental pear,254
California,Anaheim,Pine,3
California,Anaheim,Queen palm,1706
California,Anaheim,Southern magnolia,4568
California,Anaheim,Vacant site,22601
California,Anaheim,Victorian box,79
California,Fresno,Camphor tree,153
California,Fresno,Chinese elm,444
California,Fresno,Chinese pistache,713
California,Fresno,Evergreen pear,3
California,Fresno,Italian cypress,198
California,Fresno,London planetree,294
California,Garden Grove,American sweetgum,335
California,Garden Grove,Bottle tree,8
California,Garden Grove,Brisbane box,1643
California,Garden Grove,California sycamore,105
California,Garden Grove,Camphor tree,98
California,Garden Grove,Canary island date palm,39
California,Garden Grove,Canary island pine,1049
California,Garden Grove,Carob,30
California,Garden Grove,Carrotwood,1438
California,Garden Grove,Chinese elm,592
California,Garden Grove,Chinese pistache,11
California,Garden Grove,Crape myrtle,2355
California,Garden Grove,Eucalyptus,1
California,Garden Grove,Evergreen pear,710
California,Garden Grove,Indian laurel fig,95
California,Garden Grove,Italian cypress,62
California,Garden Grove,Jacaranda,668
California,Garden Grove,London plane,593
California,Garden Grove,Mexican fan palm,595
California,Garden Grove,Modesto ash,14
California,Garden Grove,Ornamental pear,465
California,Garden Grove,Queen palm,897
California,Garden Grove,Southern magnolia,695
California,Garden Grove,Victorian box,40
California,Huntington Beach,American sweetgum,170
California,Huntington Beach,Bottle tree,51
California,Huntington Beach,Brisbane box,1453
California,Huntington Beach,California sycamore,516
California,Huntington Beach,Camphor tree,304
California,Huntington Beach,Canary island date palm,328
California,Huntington Beach,Canary island pine,1352
California,Huntington Beach,Carob,23
California,Huntington Beach,Carrotwood,1431
California,Huntington Beach,Chinese elm,82
California,Huntington Beach,Chinese pistache,67
California,Huntington Beach,Crape myrtle,3813
California,Huntington Beach,Eucalyptus,3
California,Huntington Beach,Evergreen pear,730
California,Huntington Beach,Indian laurel fig,141
California,Huntington Beach,Italian cypress,55
California,Huntington Beach,Jacaranda,199
California,Huntington Beach,London plane,480
California,Huntington Beach,Mexican fan palm,4037
California,Huntington Beach,Modesto ash,13
California,Huntington Beach,Ornamental pear,1027
California,Huntington Beach,Pine,9
California,Huntington Beach,Queen palm,4681
California,Huntington Beach,Southern magnolia,299
California,Huntington Beach,Vacant site,9966
California,Huntington Beach,Victorian box,114
California,Irvine,Brisbane box,3810
California,Irvine,California sycamore,2887
California,Irvine,Camphor tree,1333
California,Irvine,Canary island pine,4578
California,Irvine,Carrotwood,1244
California,Irvine,Chinese elm,690
California,Irvine,Evergreen pear,276
California,Irvine,Italian cypress,440
California,Irvine,Jacaranda,2063
California,Irvine,London planetree,1195
California,Irvine,Mexican fan palm,542
