Code,Type,RegionID,RegionName,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0010281895,Minimum,001,Alabama,1895,0.778,-2.889,5.778,10.667,14.667,19.167,20.444,20.722,19.111,7.333,5.222,0.389
0010281896,Minimum,001,Alabama,1896,1.111,2.444,5.111,13.111,17.722,19.389,21.5,21.333,17.0,10.333,7.667,1.722
0010281897,Minimum,001,Alabama,1897,-0.333,5.111,10.222,10.056,13.278,20.167,21.222,20.056,16.944,11.722,5.222,2.722
0010281898,Minimum,001,Alabama,1898,3.778,1.222,9.167,8.0,15.667,20.0,20.889,20.667,18.389,9.778,3.722,0.278
0010281899,Minimum,001,Alabama,1899,0.611,-1.889,6.389,10.444,17.556,19.778,20.5,21.056,15.222,12.222,6.0,1.0
0010281900,Minimum,001,Alabama,1900,-0.056,0.222,5.167,10.889,14.667,19.667,20.611,20.5,18.889,14.556,6.111,2.056
0010281901,Minimum,001,Alabama,1901,1.389,0.167,5.056,7.889,13.944,19.167,21.0,19.889,16.111,9.333,1.5,-0.833
0010281902,Minimum,001,Alabama,1902,-0.611,-0.778,6.667,9.611,17.278,19.889,21.167,21.111,16.944,10.333,7.722,1.611
0010281903,Minimum,001,Alabama,1903,0.722,2.667,10.278,9.0,14.833,16.778,20.444,20.778,15.444,9.667,3.722,-2.611
0010281904,Minimum,001,Alabama,1904,-1.278,3.111,7.667,8.5,13.444,18.278,19.222,19.778,17.611,9.556,4.0,1.556
0010281905,Minimum,001,Alabama,1905,-2.5,-1.889,8.167,11.0,17.611,19.611,20.222,20.556,17.944,11.667,5.944,0.444
0010281906,Minimum,001,Alabama,1906,1.722,0.0,4.389,10.389,14.278,19.5,20.278,20.667,20.056,9.167,5.111,3.833
0010281907,Minimum,001,Alabama,1907,5.667,2.222,10.667,7.889,14.111,17.222,20.889,20.222,17.5,9.833,4.0,1.667
0010281908,Minimum,001,Alabama,1908,0.111,0.444,9.889,12.889,15.333,18.611,20.389,19.944,16.667,7.389,6.278,3.722
0010281909,Minimum,001,Alabama,1909,3.444,2.889,6.667,10.333,13.667,19.667,20.722,20.667,17.389,8.5,6.833,-1.333
0010281910,Minimum,001,Alabama,1910,0.556,0.556,7.722,8.667,13.333,17.889,20.444,19.944,18.0,11.833,3.111,-0.778
0010281911,Minimum,001,Alabama,1911,3.667,6.111,6.778,11.167,14.833,19.722,19.556,20.056,19.944,13.667,3.111,3.611
0010281912,Minimum,001,Alabama,1912,-1.667,-1.0,5.0,11.5,15.111,18.0,20.611,20.0,19.0,12.333,2.056,2.722
0010281913,Minimum,001,Alabama,1913,4.444,1.944,6.389,9.5,14.556,18.111,21.0,19.833,16.889,8.722,5.278,3.056
0010281914,Minimum,001,Alabama,1914,1.778,0.722,3.222,10.5,14.278,21.0,21.0,20.389,16.556,11.556,3.778,1.111
0010281915,Minimum,001,Alabama,1915,-0.222,2.556,1.389,9.722,16.944,19.056,20.333,20.0,17.944,12.611,5.667,1.167
0010281916,Minimum,001,Alabama,1916,5.0,0.944,4.778,9.389,15.444,18.444,21.056,20.167,16.0,10.167,4.167,1.889
0010281917,Minimum,001,Alabama,1917,4.111,2.167,6.778,9.778,11.278,18.111,20.389,19.611,16.611,6.389,2.722,-1.833
0010281918,Minimum,001,Alabama,1918,-3.278,5.111,9.444,9.944,15.5,19.444,18.833,20.056,14.278,14.889,4.889,4.444
0010281919,Minimum,001,Alabama,1919,-0.167,2.444,6.222,9.056,14.556,19.722,20.667,20.389,16.667,17.444,7.278,1.778
0010281920,Minimum,001,Alabama,1920,2.778,2.111,4.722,10.389,15.556,18.444,20.333,19.889,18.722,9.5,3.222,1.222
0010281921,Minimum,001,Alabama,1921,3.056,3.611,10.556,9.5,14.167,19.833,21.056,20.5,20.333,8.944,7.278,3.611
0010281922,Minimum,001,Alabama,1922,3.0,6.278,6.833,12.667,16.167,19.444,20.333,19.5,17.778,11.167,6.722,6.056
0010281923,Minimum,001,Alabama,1923,3.889,2.111,5.389,10.5,14.667,18.833,19.778,20.444,17.722,9.944,3.611,6.722
0010281924,Minimum,001,Alabama,1924,-1.944,1.611,3.889,10.222,12.778,20.167,19.722,20.389,16.222,9.389,4.722,2.389
0010281925,Minimum,001,Alabama,1925,2.833,4.556,6.389,12.111,13.5,19.944,20.833,19.667,20.778,12.111,4.667,0.111
0010281926,Minimum,001,Alabama,1926,0.944,3.333,3.389,8.222,13.667,18.5,19.556,21.222,20.056,12.111,2.889,3.833
0010281927,Minimum,001,Alabama,1927,2.333,8.167,6.944,12.944,15.722,19.889,20.389,19.056,17.444,10.889,8.444,1.5
0010281928,Minimum,001,Alabama,1928,-0.056,2.0,6.333,8.333,13.722,18.722,20.889,20.889,16.111,12.778,4.5,0.611
0010281929,Minimum,001,Alabama,1929,2.389,1.278,8.278,12.556,15.667,18.556,20.056,19.333,17.722,10.167,7.278,0.056
0010281930,Minimum,001,Alabama,1930,1.056,4.611,4.667,10.222,15.667,17.5,21.0,19.167,18.833,9.667,6.278,0.556
0010281931,Minimum,001,Alabama,1931,0.056,2.389,3.056,8.722,12.833,18.111,21.056,18.833,18.667,12.278,8.0,7.222
0010281932,Minimum,001,Alabama,1932,5.111,7.722,3.556,10.333,14.111,19.389,21.722,20.778,17.722,9.611,3.0,4.056
0010281933,Minimum,001,Alabama,1933,5.111,3.056,5.778,10.111,17.5,17.944,20.444,20.222,18.944,11.333,4.556,6.278
0010281934,Minimum,001,Alabama,1934,3.333,-0.444,4.556,10.444,15.222,19.889,21.333,21.0,16.389,11.722,6.222,1.278
0010281935,Minimum,001,Alabama,1935,2.0,2.611,9.222,11.333,15.611,17.889,20.722,21.0,16.611,11.167,6.333,-1.778
0010281936,Minimum,001,Alabama,1936,0.0,0.722,7.333,9.278,15.389,18.944,21.0,20.444,18.944,12.056,4.111,3.833
0010281937,Minimum,001,Alabama,1937,9.389,2.611,4.167,9.556,15.5,19.944,19.667,20.667,16.333,10.333,3.778,1.611
0010281938,Minimum,001,Alabama,1938,2.0,5.556,10.056,10.5,15.667,18.333,20.722,20.5,16.167,9.944,5.0,1.056
0010281939,Minimum,001,Alabama,1939,2.889,4.5,7.333,9.333,14.778,20.0,20.444,19.556,18.111,11.056,3.167,2.0
0010281940,Minimum,001,Alabama,1940,-6.0,1.333,5.333,9.833,12.389,18.5,20.0,20.278,14.833,9.778,5.056,4.444
0010281941,Minimum,001,Alabama,1941,1.389,0.0,3.0,11.222,14.778,19.167,21.056,20.722,18.611,14.833,4.111,3.111
0010281942,Minimum,001,Alabama,1942,-1.389,0.444,5.556,9.333,14.167,19.167,20.667,19.5,15.889,10.667,5.833,2.389
0010281943,Minimum,001,Alabama,1943,2.333,2.222,5.0,9.778,16.056,20.444,21.111,20.556,15.722,8.5,2.056,1.389
0010281944,Minimum,001,Alabama,1944,1.167,6.5,6.667,9.944,15.056,19.5,19.333,20.278,18.222,8.944,5.222,0.667
0010281945,Minimum,001,Alabama,1945,0.889,4.667,10.722,11.556,13.278,18.889,20.333,19.944,18.667,9.778,6.167,-1.0
0010281946,Minimum,001,Alabama,1946,2.556,2.611,8.889,11.556,14.889,18.056,20.611,19.0,16.778,10.111,9.278,3.0
0010281947,Minimum,001,Alabama,1947,4.5,-2.389,2.556,11.944,14.111,18.611,18.167,20.667,18.0,14.0,5.444,1.722
0010281948,Minimum,001,Alabama,1948,-2.667,4.444,8.389,12.389,14.444,18.944,20.722,19.5,16.222,8.056,6.833,3.889
0010281949,Minimum,001,Alabama,1949,5.722,5.556,5.333,10.056,15.111,19.278,21.278,20.056,16.222,14.833,2.889,2.778
0010281950,Minimum,001,Alabama,1950,9.667,4.833,4.556,7.944,16.833,18.944,19.444,18.444,16.667,12.056,1.333,-0.667
0010281951,Minimum,001,Alabama,1951,1.556,2.667,7.167,9.111,13.222,19.167,20.611,20.722,17.944,11.667,2.222,3.389
0010281952,Minimum,001,Alabama,1952,5.444,4.611,4.889,8.667,14.778,20.556,20.444,20.167,15.667,5.944,3.389,1.444
0010281953,Minimum,001,Alabama,1953,2.944,3.111,7.889,8.556,16.944,20.167,20.556,19.222,15.556,10.278,3.167,1.167
0010281954,Minimum,001,Alabama,1954,1.722,3.389,5.5,12.556,12.222,18.5,21.111,20.778,17.389,10.389,3.222,0.333
0010281955,Minimum,001,Alabama,1955,0.667,3.222,7.556,11.778,15.889,16.0,20.611,20.444,18.0,8.444,3.556,1.778
0010281956,Minimum,001,Alabama,1956,-0.611,5.944,5.333,9.167,16.056,17.833,19.944,19.5,14.722,11.667,3.056,5.722
0010281957,Minimum,001,Alabama,1957,3.389,7.722,5.389,11.556,15.778,19.889,20.222,19.222,17.889,9.333,7.0,2.0
0010281958,Minimum,001,Alabama,1958,-1.556,-3.0,4.778,10.5,14.722,19.222,20.444,19.611,17.611,9.667,6.056,-0.389
0010281959,Minimum,001,Alabama,1959,-0.944,4.0,4.167,9.889,15.833,18.833,20.278,20.111,17.944,13.889,3.389,2.111
0010281960,Minimum,001,Alabama,1960,1.833,0.556,1.278,10.278,12.611,18.389,20.444,20.333,17.778,11.444,4.278,-1.111
0010281961,Minimum,001,Alabama,1961,-2.278,4.722,7.556,7.556,12.889,17.222,19.278,19.278,17.111,8.222,6.556,2.778
0010281962,Minimum,001,Alabama,1962,0.111,5.833,4.167,8.611,16.0,18.556,20.333,19.944,16.944,11.222,4.056,-0.333
0010281963,Minimum,001,Alabama,1963,-2.444,-1.833,7.056,12.0,15.111,18.778,19.556,19.667,15.944,9.889,4.556,-3.167
0010281964,Minimum,001,Alabama,1964,-0.444,-0.167,5.222,11.833,14.556,19.0,20.0,19.722,16.889,8.222,6.444,3.222
0010281965,Minimum,001,Alabama,1965,1.222,1.333,4.778,11.944,14.667,18.222,20.056,19.667,18.111,9.611,7.056,1.111
0010281966,Minimum,001,Alabama,1966,-0.778,2.111,4.778,10.333,14.5,16.556,20.611,19.389,16.667,9.278,5.389,1.778
0010281967,Minimum,001,Alabama,1967,1.111,0.5,7.111,12.556,13.5,18.278,18.722,18.444,14.167,7.667,2.667,4.611
0010281968,Minimum,001,Alabama,1968,-0.278,-2.222,3.333,10.611,13.778,17.889,19.722,19.722,15.222,10.0,3.778,-0.722
0010281969,Minimum,001,Alabama,1969,0.556,1.556,1.833,10.611,14.222,18.333,21.056,18.611,15.833,11.5,2.167,-0.056
0010281970,Minimum,001,Alabama,1970,-2.444,-0.722,5.111,11.833,14.0,17.944,19.444,20.611,18.667,11.667,2.5,3.0
0010281971,Minimum,001,Alabama,1971,1.167,0.667,3.0,7.833,12.0,18.722,19.944,19.667,18.389,13.278,3.944,7.5
0010281972,Minimum,001,Alabama,1972,3.167,2.222,5.611,10.056,13.833,17.0,18.944,19.611,18.278,10.667,5.0,3.889
0010281973,Minimum,001,Alabama,1973,0.444,0.222,9.611,9.444,12.833,18.833,20.778,19.111,18.778,12.056,7.333,1.111
0010281974,Minimum,001,Alabama,1974,7.722,1.667,8.556,9.111,15.722,16.556,19.611,19.5,16.111,7.333,4.056,2.222
0010281975,Minimum,001,Alabama,1975,3.278,4.167,5.222,9.0,16.278,18.278,20.0,20.278,15.611,11.556,5.722,1.056
0010281976,Minimum,001,Alabama,1976,-2.056,3.778,8.111,8.889,12.278,17.333,19.5,18.444,16.111,7.389,0.778,-1.167
0010281977,Minimum,001,Alabama,1977,-5.0,-0.444,7.611,10.722,14.833,18.722,20.944,20.444,18.611,8.667,7.722,0.833
0010281978,Minimum,001,Alabama,1978,-2.889,-2.611,3.778,9.833,14.667,19.222,20.778,20.222,18.444,8.222,7.833,1.111
0010281979,Minimum,001,Alabama,1979,-2.333,1.0,5.889,11.222,14.556,17.556,20.833,19.611,17.389,8.944,4.333,0.944
0010281980,Minimum,001,Alabama,1980,3.111,-0.667,5.0,8.611,15.111,18.556,21.389,20.611,18.833,8.333,4.389,0.0
0010281981,Minimum,001,Alabama,1981,-2.889,1.667,3.611,12.056,12.5,20.389,21.0,19.778,14.444,9.722,4.833,0.444
0010281982,Minimum,001,Alabama,1982,-0.333,2.889,8.333,9.444,14.778,18.111,20.556,20.222,15.667,10.833,6.333,6.0
0010281983,Minimum,001,Alabama,1983,0.111,2.667,4.889,7.333,13.722,18.0,20.611,20.667,15.667,11.056,4.667,-0.222
0010281984,Minimum,001,Alabama,1984,-1.667,1.944,4.833,9.611,13.444,17.778,19.722,19.556,15.167,14.444,3.889,6.389
0010281985,Minimum,001,Alabama,1985,-3.389,1.556,8.0,10.333,14.944,18.889,20.111,20.056,16.111,14.333,10.778,-1.611
0010281986,Minimum,001,Alabama,1986,-1.111,4.222,5.167,8.333,15.278,19.889,21.278,19.444,18.778,11.722,9.833,2.944
0010281987,Minimum,001,Alabama,1987,0.278,3.611,6.444,7.722,16.889,18.889,20.333,21.111,16.278,5.222,5.833,4.056
0010281988,Minimum,001,Alabama,1988,-0.667,0.333,5.111,9.833,12.056,17.222,20.444,20.833,18.5,8.222,7.0,1.333
0010281989,Minimum,001,Alabama,1989,3.889,3.389,7.778,8.833,13.944,19.167,20.833,19.778,17.222,9.556,5.167,-2.444
0010281990,Minimum,001,Alabama,1990,3.667,6.444,7.722,8.778,14.333,18.611,20.222,19.944,16.944,10.167,5.333,4.333
0010281991,Minimum,001,Alabama,1991,3.111,4.056,7.0,12.889,17.944,19.333,21.278,20.222,16.944,10.611,3.167,3.778
0010281992,Minimum,001,Alabama,1992,1.056,4.056,5.556,9.167,12.778,17.944,21.0,18.889,17.667,9.667,5.333,3.5
0010281993,Minimum,001,Alabama,1993,4.222,1.5,4.667,7.722,14.056,18.944,21.389,20.722,16.778,10.444,4.0,1.611
0010281994,Minimum,001,Alabama,1994,-0.667,3.5,5.722,10.722,13.444,20.111,20.278,19.333,16.111,12.333,8.0,4.444
0010281995,Minimum,001,Alabama,1995,1.611,2.222,8.278,9.889,15.833,17.611,20.833,22.0,16.667,10.778,3.056,1.167
0010281996,Minimum,001,Alabama,1996,-0.167,1.889,3.889,7.944,15.833,18.889,20.556,19.833,16.278,10.5,5.278,3.167
0010281997,Minimum,001,Alabama,1997,2.111,4.889,9.111,7.833,12.833,18.333,21.111,19.444,16.889,10.278,4.0,1.5
0010281998,Minimum,001,Alabama,1998,3.222,3.722,5.611,9.833,16.0,20.556,22.056,20.389,19.167,12.0,7.889,5.556
0010281999,Minimum,001,Alabama,1999,3.0,4.389,4.167,12.722,13.667,19.5,21.389,20.833,15.444,10.278,5.667,1.444
0010282000,Minimum,001,Alabama,2000,2.167,3.556,7.556,8.222,16.444,18.722,20.5,20.111,17.0,9.778,5.556,-1.889
0010282001,Minimum,001,Alabama,2001,-1.167,5.0,5.056,11.333,14.333,18.667,20.778,20.444,16.222,8.222,6.722,3.944
0010282002,Minimum,001,Alabama,2002,1.833,0.722,5.333,12.667,14.556,18.833,21.0,20.333,19.833,15.389,4.389,1.167
