Code,Type,RegionID,RegionName,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0010281978,Minimum,001,Alabama,1978,-2.889,-2.611,3.778,9.833,14.667,19.222,20.778,20.222,18.444,8.222,7.833,1.111
0010281983,Minimum,001,Alabama,1983,0.111,2.667,4.889,7.333,13.722,18.0,20.611,20.667,15.667,11.056,4.667,-0.222
0010281988,Minimum,001,Alabama,1988,-0.667,0.333,5.111,9.833,12.056,17.222,20.444,20.833,18.5,8.222,7.0,1.333
0010281993,Minimum,001,Alabama,1993,4.222,1.5,4.667,7.722,14.056,18.944,21.389,20.722,16.778,10.444,4.0,1.611
0010281998,Minimum,001,Alabama,1998,3.222,3.722,5.611,9.833,16.0,20.556,22.056,20.389,19.167,12.0,7.889,5.556
0010282003,Minimum,001,Alabama,2003,-2.0,2.889,8.278,10.444,16.444,18.722,20.667,21.056,16.444,10.611,7.556,-0.222
0010282008,Minimum,001,Alabama,2008,0.056,2.278,5.111,10.333,14.722,19.333,20.222,20.222,17.889,10.0,3.056,3.944
0010282013,Minimum,001,Alabama,2013,4.611,2.889,2.889,10.0,13.778,20.111,20.667,20.333,17.667,11.944,4.444,3.111
0010282018,Minimum,001,Alabama,2018,-1.667,8.833,6.222,7.889,17.056,20.389,21.556,20.778,20.889,13.722,4.5,4.444
0010282022,Minimum,001,Alabama,2022,0.0,2.889,6.556,9.667,16.778,20.5,22.111,21.222,16.778,8.222,6.611,4.167
0020281978,Minimum,002,Arizona,1978,0.5,0.944,4.833,5.333,8.833,15.0,18.389,17.0,14.0,10.0,3.556,-3.0
0020281983,Minimum,002,Arizona,1983,-1.0,1.0,3.222,3.278,8.722,13.167,18.333,17.944,16.444,9.5,2.722,0.611
0020281988,Minimum,002,Arizona,1988,-2.0,0.833,1.5,5.833,9.556,15.833,19.278,18.167,12.778,10.722,2.389,-2.222
0020281993,Minimum,002,Arizona,1993,1.278,1.333,3.389,6.056,10.889,14.056,17.5,17.833,13.278,8.389,1.0,-2.111
0020281998,Minimum,002,Arizona,1998,-0.444,-0.278,2.056,3.556,8.5,12.833,19.333,19.222,15.389,7.722,2.389,-1.389
0020282003,Minimum,002,Arizona,2003,1.444,1.167,2.889,4.778,11.111,15.389,20.278,19.333,15.5,11.278,2.389,-1.278
0020282008,Minimum,002,Arizona,2008,-2.167,0.056,2.5,5.389,8.778,15.667,19.5,18.944,15.0,8.278,4.0,-0.667
0020282013,Minimum,002,Arizona,2013,-3.556,-1.778,4.278,6.667,10.889,16.889,20.167,18.556,15.056,6.444,3.611,-1.722
0020282018,Minimum,002,Arizona,2018,0.667,0.611,3.444,8.278,11.111,16.5,20.167,19.222,16.167,9.278,1.667,-0.667
