RegionName,Year,Jan,Dec,Nov,Oct,Sep,Aug,Jul,Jun,May,Apr,Mar,Feb
Alabama,1978,2.0,8.111,15.111,16.778,24.944,26.278,27.056,25.556,21.111,17.722,10.667,3.778
Alabama,1983,5.611,5.444,11.778,17.778,22.222,27.278,27.0,23.611,20.333,14.333,11.111,8.111
Alabama,1988,4.833,8.222,13.611,15.111,23.611,26.889,26.056,25.056,20.167,17.111,12.389,7.444
Alabama,1993,9.333,7.389,10.944,17.111,23.333,26.722,27.889,25.333,20.444,14.833,10.944,7.889
Alabama,1998,8.778,10.778,14.389,19.333,25.222,26.611,27.667,27.056,23.111,16.444,11.889,9.556
Alabama,2003,4.444,6.667,14.556,17.5,22.833,26.333,25.833,24.222,22.0,17.389,14.222,8.889
Alabama,2008,6.111,9.833,10.556,16.778,23.611,25.778,26.667,25.944,21.278,17.111,12.889,9.556
Alabama,2013,10.0,8.833,10.889,18.278,23.889,25.5,25.389,25.556,20.111,16.778,9.889,8.889
Alabama,2018,4.667,9.444,10.222,19.667,26.333,26.389,27.056,26.278,23.556,15.278,13.0,14.444
Alabama,2022,6.611,9.556,13.0,16.222,23.278,26.278,27.611,26.889,23.056,16.944,14.111,10.0
Arizona,1978,6.167,3.111,9.556,18.111,21.889,25.278,27.0,24.611,17.778,13.333,11.5,7.0
Arizona,1983,5.889,6.722,9.556,16.389,23.778,25.111,26.278,22.444,17.778,10.722,9.333,7.333
Arizona,1988,4.611,5.0,10.0,19.0,21.333,25.222,27.167,24.556,18.556,13.944,10.167,8.444
Arizona,1993,6.389,5.5,8.444,16.111,22.111,25.278,25.722,23.444,19.611,14.778,11.0,6.944
Arizona,1998,6.556,5.944,10.333,15.833,23.111,26.889,27.333,22.111,17.222,11.5,9.444,5.556
Arizona,2003,9.333,6.111,9.333,19.611,23.778,26.667,28.778,24.611,20.167,13.111,10.333,7.5
Arizona,2008,4.333,5.778,11.833,17.167,23.111,26.278,26.889,25.167,17.556,14.444,11.0,7.222
Arizona,2013,3.667,5.278,10.722,14.889,22.444,25.833,27.222,26.389,19.667,15.222,12.667,5.667
Arizona,2018,8.667,6.0,9.667,15.5,24.444,26.778,27.944,25.889,20.278,17.167,11.278,8.167
Arizona,2022,6.5,6.056,7.778,16.444,24.222,25.889,27.778,25.889,20.389,16.0,11.0,6.778
Arkansas,1978,-1.444,5.056,11.722,15.5,23.722,26.5,28.167,24.667,20.056,17.111,8.444,-0.167
Arkansas,1983,3.444,-1.111,10.556,17.222,22.722,28.167,26.944,23.333,18.889,12.444,10.0,6.5
